**************************************************************************************************
*                                                                                                *
* Component List (Generic)                                                                       *
*                                                                                                *
* E:\00.LAVORI IN CORSO\METALTRONICA\25-335-0 ( CONTROLLO GENERATORE MAMMOGRAFICO)\25-335-0.MAX  *
* Fri Feb 06 15:45:17 2026                                                                       *
*                                                                                                *
**************************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
------------------------------------------------------------------------------------------------------------
211                                          MH3.2-GUARDIA_6MM               0.00 mm    0.00 mm   0       
212                                          MH3.2-GUARDIA_6MM               132.08 mm  0.00 mm   0       
C1         100nF            C                SMD0603                         28.58 mm   22.86 mm  90      
C2         68pF             C                SMD0603                         30.48 mm   29.21 mm  270     
C3         68pF             C                SMD0603                         30.48 mm   22.86 mm  90      
C4         2u2F             C                SMD1210                         132.72 mm  20.96 mm  180     
C5         100nF            C                SMD0603                         133.35 mm  23.50 mm  0       
C6         4u7              C                ETANT-C                         131.45 mm  9.53 mm   0       
C7         4u7              C                ETANT-C                         131.45 mm  5.72 mm   0       
C8         100nF            C                SMD0603                         127.00 mm  2.54 mm   90      
C9         100nF            C                SMD0603                         91.44 mm   10.16 mm  90      
C10        330nF            C                SMD0603                         80.01 mm   -0.64 mm  270     
C11        1uF              C                SMD0805-MET                     64.14 mm   21.59 mm  90      
C12        100nF            C                SMD0603                         53.34 mm   -0.64 mm  90      
C13        100nF            C                SMD0603                         80.65 mm   28.58 mm  90      
C14        10nF             C                SMD0805-MET                     78.74 mm   28.58 mm  270     
C15        10nF             C                SMD0805-MET                     64.14 mm   12.70 mm  90      
C16        100nF            C                SMD0603                         51.44 mm   6.35 mm   270     
C17        470pF            C                SMD0603                         53.34 mm   27.94 mm  180     
C18        100nF            C                SMD0603                         64.14 mm   26.67 mm  90      
C19        4u7              C                SMD1206                         43.18 mm   28.58 mm  0       
C20        100nF            C                SMD0603                         2.54 mm    25.40 mm  270     
C21        10uF             C                SMD0805-MET                     6.35 mm    25.40 mm  90      
C22        100nF            C                SMD0603                         11.43 mm   7.62 mm   270     
C23        100nF            C                SMD0603                         3.18 mm    8.26 mm   90      
C24        100nF            C                SMD0603                         -0.64 mm   18.42 mm  180     
C25        100nF            C                SMD0603                         17.78 mm   15.88 mm  0       
C26        100nF            C                SMD0603                         10.16 mm   25.40 mm  270     
C27        4u7              C                SMD1206                         18.42 mm   11.43 mm  0       
C28        100nF            C                SMD0603                         17.78 mm   13.97 mm  0       
C29        100nF            C                SMD0603                         17.15 mm   7.62 mm   270     
D1         ESD2CAN24DBZRQ1  ESD2CAN24DBZRQ1  SOT23-123                       33.66 mm   26.04 mm  270     
D2         RADDRIZZATORI    D_2              SOD523F1-2                      83.82 mm   2.54 mm   270     
D3         RADDRIZZATORI    D_2              SOD523F1-2                      77.09 mm   25.40 mm  90      
D4         RADDRIZZATORI    D_2              SOD523F1-2                      77.09 mm   28.58 mm  90      
D5         ESD5V0D3B-TP     D_0              SOD323_1_2                      85.73 mm   27.94 mm  90      
DL1        VERDE            LED_1            LED0805-MET-12                  106.68 mm  23.50 mm  270     
DL2        VERDE            LED_1            LED0805-MET-12                  104.14 mm  23.50 mm  270     
DL3        VERDE            LED_1            LED0805-MET-12                  111.76 mm  23.50 mm  270     
DL4        BLU              LED_1            LED0805-MET-12                  109.22 mm  23.50 mm  270     
DL11       GIALLO           LED              LED0805-MET-12                  127.00 mm  23.50 mm  270     
DL12       GIALLO           LED              LED0805-MET-12                  124.46 mm  23.50 mm  270     
DL13       GIALLO           LED              LED0805-MET-12                  121.92 mm  23.50 mm  270     
DL14       GIALLO           LED              LED0805-MET-12                  119.38 mm  23.50 mm  270     
DL15       GIALLO           LED              LED0805-MET-12                  116.84 mm  23.50 mm  270     
DL16       GIALLO           LED              LED0805-MET-12                  114.30 mm  23.50 mm  270     
J1         HEADER 15X2      HEADER_15X2      77317-XXX-30LF-FCI_NUM_OPP      114.72 mm  29.23 mm  180     
J2         61200621621      HEADER-3X2       61200621621-WE                  13.97 mm   2.54 mm   180     
K1         FOTO-RELAY       CPC1017          CPC1017N-CLARE                  94.62 mm   15.88 mm  0       
K2         FOTO-RELAY       CPC1017          CPC1017N-CLARE                  47.63 mm   11.43 mm  0       
L1         DLW32SH101XF2L   CHOKE_DLW32SH1.. DLW32S_MURATA                   29.21 mm   26.04 mm  0       
L2         BLM18BD102       L_1              SMD0603                         0.64 mm    25.40 mm  270     
L3         BLM18BD102       L_1              SMD0603                         8.26 mm    25.40 mm  270     
Q1         2N7002LT1G       MOSFET_N_8       SOT23-123                       68.58 mm   3.18 mm   0       
Q2         2N7002LT1G       MOSFET_N_8       SOT23-123                       92.08 mm   -0.64 mm  0       
Q3         2N7002LT1G       MOSFET_N_8       SOT23-123                       73.03 mm   3.18 mm   0       
Q4         2N7002LT1G       MOSFET_N_8       SOT23-123                       113.67 mm  9.53 mm   0       
Q5         2N7002LT1G       MOSFET_N_8       SOT23-123                       105.41 mm  9.53 mm   0       
Q6         2N7002LT1G       MOSFET_N_8       SOT23-123                       96.52 mm   5.72 mm   0       
Q7         2N7002LT1G       MOSFET_N_8       SOT23-123                       105.41 mm  4.45 mm   0       
Q8         2N7002LT1G       MOSFET_N_8       SOT23-123                       100.97 mm  4.45 mm   0       
Q9         2N7002LT1G       MOSFET_N_8       SOT23-123                       105.41 mm  -0.64 mm  0       
Q10        2N7002LT1G       MOSFET_N_8       SOT23-123                       100.97 mm  -0.64 mm  0       
Q11        2N7002LT1G       MOSFET_N_8       SOT23-123                       113.67 mm  4.45 mm   0       
Q12        2N7002LT1G       MOSFET_N_8       SOT23-123                       113.67 mm  -0.64 mm  0       
Q13        2N7002LT1G       MOSFET_N_8       SOT23-123                       118.11 mm  -0.64 mm  0       
Q14        2N7002LT1G       MOSFET_N_8       SOT23-123                       118.11 mm  4.45 mm   0       
Q15        2N7002LT1G       MOSFET_N_8       SOT23-123                       64.14 mm   6.99 mm   90      
Q16        2N7002LT1G       MOSFET_N_8       SOT23-123                       48.26 mm   2.54 mm   0       
Q17        2N7002LT1G       MOSFET_N_8       SOT23-123                       43.82 mm   2.54 mm   0       
Q18        2N7002LT1G       MOSFET_N_8       SOT23-123                       37.47 mm   2.54 mm   0       
Q19        2N7002LT1G       MOSFET_N_8       SOT23-123                       31.12 mm   2.54 mm   0       
Q20        2N7002LT1G       MOSFET_N_8       SOT23-123                       22.86 mm   2.54 mm   0       
Q21        2N7002LT1G       MOSFET_N_8       SOT23-123                       123.19 mm  14.61 mm  0       
Q22        2N7002LT1G       MOSFET_N_8       SOT23-123                       118.75 mm  14.61 mm  0       
Q23        2N7002LT1G       MOSFET_N_8       SOT23-123                       114.30 mm  14.61 mm  0       
Q24        2N7002LT1G       MOSFET_N_8       SOT23-123                       109.86 mm  14.61 mm  0       
Q25        2N7002LT1G       MOSFET_N_8       SOT23-123                       105.41 mm  14.61 mm  0       
Q26        2N7002LT1G       MOSFET_N_8       SOT23-123                       100.97 mm  14.61 mm  0       
R1         33R              R                SMD0603                         28.58 mm   29.21 mm  270     
R2         120R             R                SMD0603                         15.24 mm   23.50 mm  90      
R3         470R             R                SMD0603                         17.15 mm   23.50 mm  270     
R4         470R             R                SMD0603                         15.24 mm   27.31 mm  270     
R5         120R             R                SMD0603                         36.83 mm   26.04 mm  270     
R6         470R             R                SMD0603                         17.15 mm   27.31 mm  90      
R7         2K7              R                SMD0603                         67.31 mm   10.16 mm  270     
R8         1K               R                SMD0603                         67.31 mm   21.59 mm  90      
R9         33K              R                SMD0603                         80.01 mm   21.59 mm  90      
R10        2K7              R                SMD0603                         81.92 mm   21.59 mm  90      
